="Logit regression: Dependent variable poor_int"
="",="2003",="2010"
="main",="",=""
="Female",="0",="0"
="",="(.)",="(.)"
="Male",="0.182",="-0.233"
="",="(0.124)",="(0.127)"
="Age of individual",="-0.0413*",="-0.0325"
="",="(0.0205)",="(0.0235)"
="Age squared",="0.000244",="0.000242"
="",="(0.000210)",="(0.000238)"
="Household size",="0.125***",="0.181***"
="",="(0.0365)",="(0.0241)"
="Rural",="0",="0"
="",="(.)",="(.)"
="Urban",="-0.416*",="0.0911"
="",="(0.195)",="(0.182)"
="No Electricity",="0",="0"
="",="(.)",="(.)"
="Electricity",="-1.567***",="-1.483***"
="",="(0.141)",="(0.155)"
="Not own house",="0",="0"
="",="(.)",="(.)"
="Own house",="0.000994",="-0.217"
="",="(0.244)",="(0.206)"
="Taplejung",="0",="0"
="",="(.)",="(.)"
="Panchthar",="1.364",="0.0807"
="",="(0.837)",="(0.519)"
="Ilam",="-0.00951",="0.540"
="",="(0.619)",="(0.559)"
="Jhapa",="0.131",="1.129**"
="",="(0.500)",="(0.411)"
="Morang",="0.525",="1.244**"
="",="(0.485)",="(0.437)"
="Sunsari",="-0.170",="0.00568"
="",="(0.568)",="(0.537)"
="Dhankuta",="2.046**",="-0.555"
="",="(0.676)",="(1.145)"
="Tehrathum",="-0.423",="0.0400"
="",="(0.377)",="(1.091)"
="Sankhuwasabha",="0.584",="1.677***"
="",="(0.497)",="(0.210)"
="Bhojpur",="1.234",="1.181***"
="",="(1.281)",="(0.284)"
="Solukhumbu",="0.135",="0.909**"
="",="(0.570)",="(0.351)"
="Okhaldhunga",="1.448***",="-0.530"
="",="(0.404)",="(0.958)"
="Khotang",="0.996",="0.101"
="",="(0.716)",="(0.665)"
="Udayapur",="2.367***",="1.306**"
="",="(0.459)",="(0.399)"
="Saptari",="0.698",="2.299***"
="",="(0.608)",="(0.261)"
="Siraha",="0.153",="1.693***"
="",="(0.475)",="(0.366)"
="Dhanusha",="0.315",="1.394***"
="",="(0.407)",="(0.368)"
="Mahottari",="0.228",="1.017*"
="",="(0.420)",="(0.439)"
="Sarlahi",="-0.134",="-0.770"
="",="(0.459)",="(0.493)"
="Sindhuli",="2.258***",="2.226***"
="",="(0.650)",="(0.447)"
="Ramechhap",="1.967***",="1.201***"
="",="(0.379)",="(0.294)"
="Dolakha",="1.128",="1.939**"
="",="(0.799)",="(0.590)"
="Sindhupalchok",="1.553**",="2.406***"
="",="(0.504)",="(0.467)"
="Kabhrepalanchok",="0.845",="-0.0597"
="",="(0.724)",="(0.869)"
="Lalitpur",="-0.688",="1.669***"
="",="(0.597)",="(0.344)"
