="Logit regression: Dependent variable poor_int"
="Bhaktapur",="1.060*",="1.449*"
="",="(0.485)",="(0.594)"
="Kathmandu",="-1.095*",="0.979***"
="",="(0.553)",="(0.280)"
="Nuwakot",="1.086**",="2.171***"
="",="(0.417)",="(0.510)"
="Dhading",="1.033*",="1.409*"
="",="(0.499)",="(0.590)"
="Makwanpur",="2.200***",="2.590***"
="",="(0.521)",="(0.428)"
="Rautahat",="0.669",="-0.844"
="",="(0.595)",="(0.738)"
="Bara",="0.482",="1.810***"
="",="(0.556)",="(0.540)"
="Parsa",="0.778",="2.329***"
="",="(0.475)",="(0.264)"
="Chitwan",="0.0746",="1.321*"
="",="(0.641)",="(0.649)"
="Gorkha",="1.449**",="2.294***"
="",="(0.515)",="(0.673)"
="Lamjung",="0.559",="0.451"
="",="(0.548)",="(1.079)"
="Tanahun",="-0.357",="1.530***"
="",="(0.532)",="(0.318)"
="Syangja",="1.462**",="1.611***"
="",="(0.456)",="(0.428)"
="Kaski",="-1.779*",="0.597"
="",="(0.885)",="(0.854)"
="Manang",="0",=""
="",="(.)",=""
="Myagdi",="0.923",="2.778***"
="",="(0.777)",="(0.431)"
="Parbat",="0.680",="0.0336"
="",="(0.786)",="(0.856)"
="Baglung",="0.292",="1.182"
="",="(0.590)",="(0.672)"
="Gulmi",="1.450*",="2.132***"
="",="(0.570)",="(0.622)"
="Palpa",="1.426**",="1.974**"
="",="(0.469)",="(0.613)"
="Nawalparasi",="-0.108",="1.219**"
="",="(0.578)",="(0.432)"
="Rupandehi",="0.662",="0.0403"
="",="(0.624)",="(0.314)"
="Kapilbastu",="1.885*",="1.659***"
="",="(0.755)",="(0.411)"
="Arghakhanchi",="1.322**",="0.401"
="",="(0.496)",="(0.753)"
="Pyuthan",="0.0232",="2.279***"
="",="(0.530)",="(0.562)"
="Rolpa",="2.679***",="0.604"
="",="(0.623)",="(0.404)"
="Rukum",="1.545***",="1.025*"
="",="(0.412)",="(0.442)"
="Salyan",="2.601***",="0.779"
="",="(0.470)",="(0.531)"
="Dang",="0.934",="1.611***"
="",="(0.508)",="(0.211)"
="Banke",="0.835",="1.674**"
="",="(0.673)",="(0.517)"
="Bardiya",="0.634",="1.630***"
="",="(0.418)",="(0.388)"
="Surkhet",="1.539**",="1.054*"
="",="(0.504)",="(0.514)"
="Dailekh",="1.408**",="1.561**"
="",="(0.499)",="(0.547)"
="Jajarkot",="0.205",="2.171***"
="",="(0.381)",="(0.188)"
="Dolpa",="-1.524***",=""
="",="(0.385)",=""
="Jumla",="0.803*",="2.556"
="",="(0.378)",="(1.516)"
="Kalikot",="2.534***",="3.234***"
="",="(0.378)",="(0.270)"
="Mugu",="0.519",="-0.0959"
="",="(0.380)",="(0.0960)"
="Humla",="0",=""
="",="(.)",=""
="Bajura",="1.245**",="3.624***"
="",="(0.376)",="(0.796)"
="Bajhang",="0.210",="1.911***"
="",="(0.542)",="(0.402)"
="Doti",="2.239**",="2.283***"
="",="(0.788)",="(0.357)"
="Kailali",="0.847*",="2.331***"
="",="(0.413)",="(0.322)"
="Kanchanpur",="0.681",="2.024***"
="",="(0.557)",="(0.238)"
="Dandheldhura",="2.648**",="1.015*"
="",="(0.837)",="(0.500)"
="Baitadi",="2.217***",="2.453***"
="",="(0.397)",="(0.321)"
="Darchula",="1.856**",="1.858***"
="",="(0.670)",="(0.272)"
="Rasuwa",="",="0"
="",="",="(.)"
="Achham",="",="1.038*"
="",="",="(0.436)"
="Constant",="0.0759",="-2.214***"
="",="(0.611)",="(0.597)"
="Observations",="3888",="5976"
="Pseudo R-squared",="",=""
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
