="Logit regression: Dependent variable poor_int"
="",="2002",="2006",="2009",="2012",="2016"
="People below Poverty Line (Povcalnet)",="",="",="",="",=""
="Female",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"
="Male",="-0.269**",="-0.280*",="-0.362**",="-0.253",="0.187"
="",="(0.0826)",="(0.115)",="(0.136)",="(0.135)",="(0.262)"
="Individual age",="-0.0666***",="-0.0544**",="-0.0436",="-0.0649**",="-0.0373"
="",="(0.0137)",="(0.0205)",="(0.0248)",="(0.0238)",="(0.0436)"
="Age squared",="0.000545***",="0.000461*",="0.000368",="0.000558*",="0.000225"
="",="(0.000129)",="(0.000192)",="(0.000231)",="(0.000226)",="(0.000414)"
="Household size",="0.375***",="0.415***",="0.430***",="0.383***",="0.430***"
="",="(0.0169)",="(0.0235)",="(0.0266)",="(0.0295)",="(0.0578)"
="Rural",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"
="Urban",="-1.247***",="-1.353***",="-0.871***",="-1.785***",="-1.013*"
="",="(0.132)",="(0.183)",="(0.175)",="(0.254)",="(0.492)"
="Not own house",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"
="Own house",="0.0725",="-0.496***",="-0.0807",="-0.444***",="-0.188"
="",="(0.105)",="(0.111)",="(0.157)",="(0.135)",="(0.310)"
="Western",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"
="Central",="0.915***",="1.525***",="0.928***",="0.439",="0.697"
="",="(0.123)",="(0.197)",="(0.235)",="(0.301)",="(0.524)"
="Southern",="1.225***",="0.982***",="0.829***",="1.485***",="0.516"
="",="(0.123)",="(0.201)",="(0.217)",="(0.246)",="(0.515)"
="North-western",="1.230***",="1.262***",="1.402***",="1.080***",="0.300"
="",="(0.127)",="(0.220)",="(0.228)",="(0.294)",="(0.597)"
="North-central",="0.695***",="1.533***",="0.509",="0.893**",="0.643"
="",="(0.162)",="(0.234)",="(0.321)",="(0.337)",="(0.601)"
="Uva",="1.619***",="2.345***",="1.626***",="2.306***",="0.467"
="",="(0.128)",="(0.195)",="(0.235)",="(0.247)",="(0.584)"
="Sabaragamuwa",="1.235***",="1.854***",="1.116***",="1.094***",="1.345**"
="",="(0.127)",="(0.200)",="(0.243)",="(0.294)",="(0.502)"
="Eastern",="",="-0.107",="1.206***",="1.449***",="1.333*"
="",="",="(0.374)",="(0.226)",="(0.270)",="(0.521)"
="Northern",="",="",="-0.910",="1.844***",="1.065"
="",="",="",="(0.731)",="(0.249)",="(0.546)"
="Constant",="-3.200***",="-4.478***",="-5.284***",="-4.460***",="-6.369***"
="",="(0.364)",="(0.547)",="(0.662)",="(0.635)",="(1.192)"
="Observations",="16924",="18543",="19948",="20531",="21755"
="Pseudo R-squared",="0.105",="0.143",="0.103",="0.121",=""
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
