="Logit regression: Dependent variable poor_int"
="",="2002",="2006",="2009",="2012"
="People below Poverty Line (Povcalnet)",="",="",="",=""
="Female",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Male",="-0.224",="-0.332*",="-0.253",="0.189"
="",="(0.117)",="(0.138)",="(0.137)",="(0.261)"
="Individual age",="-0.0277",="-0.0275",="-0.0480*",="-0.0324"
="",="(0.0208)",="(0.0254)",="(0.0241)",="(0.0434)"
="Age squared",="0.000271",="0.000277",="0.000444",="0.000192"
="",="(0.000194)",="(0.000237)",="(0.000229)",="(0.000413)"
="Household size",="0.444***",="0.456***",="0.409***",="0.435***"
="",="(0.0238)",="(0.0266)",="(0.0295)",="(0.0580)"
="Rural",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Urban",="-1.013***",="-0.549**",="-1.478***",="-0.942"
="",="(0.188)",="(0.182)",="(0.257)",="(0.495)"
="No Electricity",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Electricity",="-1.588***",="-1.753***",="-1.615***",="-1.512***"
="",="(0.104)",="(0.126)",="(0.128)",="(0.332)"
="Not own house",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Own house",="-0.265*",="0.0762",="-0.292*",="-0.0742"
="",="(0.115)",="(0.161)",="(0.138)",="(0.319)"
="Western",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Central",="1.299***",="0.818***",="0.364",="0.683"
="",="(0.200)",="(0.240)",="(0.302)",="(0.527)"
="Southern",="0.868***",="0.813***",="1.435***",="0.527"
="",="(0.202)",="(0.219)",="(0.247)",="(0.517)"
="Eastern",="-0.615",="0.818***",="0.999***",="1.179*"
="",="(0.379)",="(0.234)",="(0.277)",="(0.530)"
="North-western",="0.876***",="1.087***",="0.913**",="0.274"
="",="(0.225)",="(0.234)",="(0.297)",="(0.601)"
="North-central",="1.187***",="0.248",="0.717*",="0.649"
="",="(0.239)",="(0.326)",="(0.341)",="(0.603)"
="Uva",="1.942***",="1.355***",="2.008***",="0.424"
="",="(0.201)",="(0.241)",="(0.252)",="(0.586)"
="Sabaragamuwa",="1.396***",="0.800**",="0.885**",="1.318**"
="",="(0.206)",="(0.250)",="(0.298)",="(0.504)"
="Northern",="",="-1.313",="1.026***",="0.859"
="",="",="(0.734)",="(0.264)",="(0.564)"
="Constant",="-4.440***",="-4.740***",="-3.811***",="-5.190***"
="",="(0.557)",="(0.678)",="(0.645)",="(1.198)"
="Observations",="18543",="19948",="20531",="21755"
="Pseudo R-squared",="0.194",="0.158",="0.163",=""
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
