="Linear regression: Dependent variable ln_welfare_perc"
="",="2000",="2005",="2010",="2016"
="Female",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Male",="0.0341",="-0.00556",="0.00574",="-0.0443***"
="",="(0.0248)",="(0.0157)",="(0.0167)",="(0.0119)"
="Age of individual",="0.00619*",="0.0159***",="0.0195***",="0.0151***"
="",="(0.00284)",="(0.00199)",="(0.00254)",="(0.00142)"
="Age squared",="-0.0000119",="-0.000104***",="-0.000138***",="-0.000105***"
="",="(0.0000292)",="(0.0000198)",="(0.0000243)",="(0.0000143)"
="Household size",="-0.0272***",="-0.0551***",="-0.0551***",="-0.0763***"
="",="(0.00409)",="(0.00242)",="(0.00317)",="(0.00418)"
="Rural",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Urban",="0.240***",="0.122***",="0.292***",="0.233***"
="",="(0.0359)",="(0.0111)",="(0.0273)",="(0.0205)"
="No Electricity",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Electricity",="0.499***",="0.438***",="0.331***",="0.275***"
="",="(0.0231)",="(0.0104)",="(0.0138)",="(0.0126)"
="Not own house",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Own house",="0.0953***",="0.0480***",="0.0366",="0.00183"
="",="(0.0285)",="(0.0143)",="(0.0318)",="(0.0228)"
="Barisal",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Chittagong",="0.0726",="0.135***",="0.227***",="0.201***"
="",="(0.0429)",="(0.0197)",="(0.0440)",="(0.0230)"
="Dhaka",="-0.0717",="0.0972***",="0.0461",="0.104***"
="",="(0.0422)",="(0.0185)",="(0.0390)",="(0.0227)"
="Khulna",="-0.105*",="-0.148***",="-0.0437",="-0.123***"
="",="(0.0468)",="(0.0203)",="(0.0401)",="(0.0219)"
="Rajshahi",="-0.171***",="-0.167***",="0.0129",="-0.101***"
="",="(0.0460)",="(0.0207)",="(0.0395)",="(0.0269)"
="Rangpur",="-0.292***",="-0.175***",="-0.0421",="-0.249***"
="",="(0.0470)",="(0.0212)",="(0.0430)",="(0.0219)"
="Sylhet",="0.0858",="0.176***",="0.0707",="0.105***"
="",="(0.0495)",="(0.0258)",="(0.0462)",="(0.0290)"
="Constant",="-0.0891",="-0.102",="-0.198**",="0.176***"
="",="(0.0775)",="(0.0523)",="(0.0652)",="(0.0441)"
="Observations",="7434",="10076",="12235",="45795"
="R-squared",="0.339",="0.307",="0.287",="0.252"
="Standard errors in parentheses"
="("Note"
="psu"
="not"
="available"
="in"
="2005.")"
="* p<0.05, ** p<0.01, *** p<0.001"
