="Logit regression: Dependent variable poor_int"
="",="1993",="2004",="2009",="2011"
="People below poverty line (Povcalnet)",="",="",="",=""
="Female",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Male",="-0.262***",="-0.339***",="-0.271***",="-0.278***"
="",="(0.0360)",="(0.0383)",="(0.0602)",="(0.0670)"
="Age of individual",="-0.0236***",="-0.0414***",="-0.0206*",="-0.0451***"
="",="(0.00459)",="(0.00544)",="(0.00907)",="(0.00925)"
="Age squared",="0.0000702",="0.000182**",="-0.00000960",="0.000307**"
="",="(0.0000478)",="(0.0000559)",="(0.0000945)",="(0.0000945)"
="Household size",="0.165***",="0.180***",="0.216***",="0.182***"
="",="(0.00597)",="(0.00664)",="(0.0102)",="(0.0138)"
="Rural",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Urban",="-0.224***",="-0.136***",="-0.239***",="-0.0854"
="",="(0.0371)",="(0.0403)",="(0.0461)",="(0.0488)"
="No Electricity",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Electricity",="-1.316***",="-1.282***",="-1.053***",="-0.966***"
="",="(0.0286)",="(0.0342)",="(0.0508)",="(0.0576)"
="Not own house",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Own house",="0.504***",="0.595***",="0.565***",="0.617***"
="",="(0.0419)",="(0.0471)",="(0.0667)",="(0.0748)"
="Jammu & Kashmir",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Himachal Pradesh",="0.863***",="0.870***",="0.394",="-0.354"
="",="(0.170)",="(0.197)",="(0.225)",="(0.255)"
="Punjab",="-0.150",="0.675***",="0.186",="-0.911***"
="",="(0.166)",="(0.194)",="(0.220)",="(0.235)"
="Chandigarh",="-0.645*",="0.814*",="0.205",="0.777*"
="",="(0.304)",="(0.351)",="(0.483)",="(0.358)"
="Haryana",="0.480**",="0.742***",="0.664**",="-0.425"
="",="(0.170)",="(0.199)",="(0.237)",="(0.308)"
="Delhi",="-0.0229",="0.553",="0.412",="-0.248"
="",="(0.433)",="(0.301)",="(0.325)",="(0.475)"
="Rajasthan",="0.445**",="1.009***",="0.679***",="0.0772"
="",="(0.157)",="(0.184)",="(0.198)",="(0.188)"
="Uttar Pradesh",="0.789***",="1.505***",="1.491***",="1.152***"
="",="(0.145)",="(0.176)",="(0.179)",="(0.157)"
="Bihar",="1.404***",="2.014***",="1.974***",="1.045***"
="",="(0.148)",="(0.181)",="(0.190)",="(0.173)"
="Sikkim",="1.117***",="1.381***",="1.153***",="-0.572"
="",="(0.234)",="(0.221)",="(0.282)",="(0.424)"
="Arunachal Pradesh",="0.984***",="0.305",="0.537*",="1.211***"
="",="(0.231)",="(0.242)",="(0.245)",="(0.259)"
="Nagaland",="-1.842***",="-4.530***",="-1.318*",="-1.242**"
="",="(0.378)",="(1.014)",="(0.652)",="(0.450)"
="Manipur",="0.437*",="0.736***",="0.981***",="0.211"
="",="(0.188)",="(0.201)",="(0.213)",="(0.210)"
="Mizoram",="-1.753***",="-0.828*",="0.359",="0.219"
="",="(0.471)",="(0.343)",="(0.252)",="(0.279)"
="Tripura",="0.0336",="2.215***",="1.283***",="1.256***"
="",="(0.182)",="(0.189)",="(0.214)",="(0.203)"
="Meghalaya",="-0.144",="-0.839**",="0.584*",="-0.108"
="",="(0.210)",="(0.259)",="(0.255)",="(0.269)"
="Assam",="0.680***",="0.986***",="1.536***",="1.249***"
="",="(0.158)",="(0.191)",="(0.208)",="(0.177)"
="West Bengal",="0.653***",="1.475***",="1.621***",="1.195***"
="",="(0.148)",="(0.179)",="(0.186)",="(0.165)"
="Orissa",="1.626***",="2.825***",="2.596***",="2.363***"
="",="(0.156)",="(0.182)",="(0.187)",="(0.163)"
="Madhya Pradesh",="1.495***",="2.637***",="2.157***",="1.730***"
="",="(0.147)",="(0.180)",="(0.188)",="(0.166)"
="Gujarat",="0.798***",="1.501***",="1.125***",="-0.0383"
="",="(0.157)",="(0.189)",="(0.207)",="(0.205)"
="Daman & Diu",="-0.0766",="-2.317***",="-0.389",="-0.394"
="",="(0.441)",="(0.691)",="(0.469)",="(0.497)"
="Dadra & Nagar Haveli",="2.175***",="2.596***",="1.736***",="1.868***"
="",="(0.384)",="(0.414)",="(0.417)",="(0.380)"
="Maharashtra",="1.329***",="1.984***",="1.270***",="0.304"
="",="(0.146)",="(0.177)",="(0.185)",="(0.173)"
="Andhra Pradesh",="1.330***",="2.091***",="1.619***",="0.305"
="",="(0.150)",="(0.178)",="(0.188)",="(0.181)"
="Karnataka",="1.326***",="2.416***",="2.130***",="0.854***"
="",="(0.153)",="(0.183)",="(0.199)",="(0.187)"
="Goa",="0.153",="0.832*",="-0.459",="-2.462***"
="",="(0.294)",="(0.331)",="(0.658)",="(0.730)"
="Lakshadweep",="-0.909*",="-0.635",="-0.514",="-2.476***"
="",="(0.443)",="(0.536)",="(0.808)",="(0.625)"
="Kerala",="0.199",="0.788***",="0.595**",="-0.436*"
="",="(0.155)",="(0.188)",="(0.200)",="(0.190)"
="Tamil Nadu",="1.452***",="2.206***",="1.787***",="0.580**"
="",="(0.150)",="(0.178)",="(0.184)",="(0.177)"
="Pondicherry",="0.848**",="1.826***",="-0.345",="-1.317*"
="",="(0.266)",="(0.256)",="(0.435)",="(0.520)"
="A & N Islands",="-1.912***",="-0.875*",="-3.234***",="-1.601*"
="",="(0.308)",="(0.444)",="(0.720)",="(0.769)"
="Uttaranchal",="",="1.351***",="0.712**",="-0.00944"
="",="",="(0.206)",="(0.232)",="(0.256)"
="Jharkhand",="",="2.191***",="2.071***",="1.935***"
