="Logit regression: Dependent variable poor_int"
="",="2000",="2005",="2010",="2016"
="People below poverty line (Povcalnet)",="",="",="",=""
="Female",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Male",="-0.304*",="-0.268**",="-0.110",="-0.145"
="",="(0.122)",="(0.0934)",="(0.0920)",="(0.0822)"
="Age of individual",="-0.0192",="-0.0552***",="-0.0624***",="-0.0470***"
="",="(0.0191)",="(0.0114)",="(0.0124)",="(0.00824)"
="Age squared",="-0.0000132",="0.000288*",="0.000414**",="0.000294***"
="",="(0.000201)",="(0.000116)",="(0.000125)",="(0.0000874)"
="Household size",="0.123***",="0.249***",="0.238***",="0.291***"
="",="(0.0219)",="(0.0138)",="(0.0192)",="(0.0212)"
="Rural",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Urban",="-0.478**",="-0.213**",="-0.843***",="-0.742***"
="",="(0.168)",="(0.0661)",="(0.121)",="(0.0981)"
="No Electricity",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Electricity",="-2.094***",="-1.672***",="-1.474***",="-1.065***"
="",="(0.126)",="(0.0654)",="(0.0828)",="(0.0668)"
="Not own house",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Own house",="-0.541***",="-0.355***",="-0.303**",="-0.142"
="",="(0.119)",="(0.0884)",="(0.108)",="(0.0862)"
="Barisal",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Chittagong",="-0.557*",="-1.304***",="-1.275***",="-1.089***"
="",="(0.235)",="(0.122)",="(0.237)",="(0.155)"
="Dhaka",="0.513*",="-0.411***",="-0.240",="-0.222"
="",="(0.207)",="(0.101)",="(0.211)",="(0.120)"
="Khulna",="0.462",="0.563***",="-0.0914",="0.537***"
="",="(0.242)",="(0.106)",="(0.221)",="(0.122)"
="Rajshahi",="0.650**",="0.530***",="-0.305",="0.474**"
="",="(0.225)",="(0.107)",="(0.223)",="(0.153)"
="Rangpur",="1.250***",="0.673***",="0.116",="1.265***"
="",="(0.216)",="(0.107)",="(0.241)",="(0.112)"
="Sylhet",="-0.484*",="-0.711***",="-0.284",="-0.475**"
="",="(0.222)",="(0.151)",="(0.246)",="(0.178)"
="Constant",="0.520",="0.688*",="0.692*",="-0.654**"
="",="(0.457)",="(0.294)",="(0.350)",="(0.216)"
="Observations",="7434",="10076",="12235",="45795"
="Pseudo R-squared",="",="0.182",="",=""
="Standard errors in parentheses"
="("Note"
="psu"
="not"
="available"
="in"
="2005.")"
="* p<0.05, ** p<0.01, *** p<0.001"
