="Linear regression: Dependent variable ln_welfare_perc"
="",="2016",="model1_linear_MDV_2009",="model1_linear_MDV_2016"
="Female",="0",="0",="0"
="",="(.)",="(.)",="(.)"
="Male",="0.0972*",="0.121***",="0.0174"
="",="(0.0454)",="(0.0324)",="(0.0134)"
="Age of individual",="-0.00522",="-0.00397",="0.00565***"
="",="(0.00969)",="(0.00713)",="(0.000939)"
="Age squared",="0.0000430",="0.0000241",="-0.0000432***"
="",="(0.0000971)",="(0.0000716)",="(0.0000111)"
="Household size",="-0.0350***",="-0.0460***",="-0.0702***"
="",="(0.00619)",="(0.00485)",="(0.00233)"
="Rural",="0",="0",="0"
="",="(.)",="(.)",="(.)"
="Urban",="0.558***",="0.263***",="0.601***"
="",="(0.0531)",="(0.0427)",="(0.0430)"
="Not own house",="0",="0",="0"
="",="(.)",="(.)",="(.)"
="Own house",="0.105",="0.0311",="0.0725**"
="",="(0.0654)",="(0.0487)",="(0.0233)"
="AA",="0",="0",="0"
="",="(.)",="(.)",="(.)"
="Adh",="0",="0",="0.139**"
="",="(.)",="(.)",="(0.0509)"
="B",="",="",="-0.0775"
="",="",="",="(0.0489)"
="Dh",="",="",="-0.0741"
="",="",="",="(0.0506)"
="F",="",="",="0.0497"
="",="",="",="(0.0518)"
="GA",="",="",="0.0789"
="",="",="",="(0.0499)"
="GDh",="",="",="-0.116*"
="",="",="",="(0.0476)"
="Gn",="",="",="-0.0644"
="",="",="",="(0.0498)"
="HA",="",="",="0.0108"
="",="",="",="(0.0476)"
="HDh",="",="",="-0.0175"
="",="",="",="(0.0461)"
="K",="",="",="0.0660"
="",="",="",="(0.0489)"
="L",="",="",="0.156**"
="",="",="",="(0.0476)"
="Lh",="",="",="0.0647"
="",="",="",="(0.0498)"
="M",="",="",="0.0865"
="",="",="",="(0.0509)"
="Male",="",="",="0"
="",="",="",="(.)"
="N",="",="",="0.157**"
="",="",="",="(0.0485)"
="R",="",="",="-0.00680"
="",="",="",="(0.0466)"
="S",="",="",="-0.0840"
="",="",="",="(0.0457)"
="Sh",="",="",="0.0193"
="",="",="",="(0.0476)"
="Th",="",="",="0.00307"
="",="",="",="(0.0490)"
="V",="",="",="0.131*"
="",="",="",="(0.0580)"
="Constant",="0.862***",="1.268***",="1.929***"
="",="(0.221)",="(0.165)",="(0.0488)"
="Observations",="834",="1903",="4855"
="R-squared",="0.157",="0.076",="0.298"
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
