="Linear regression: Dependent variable ln_welfare_perc"
="",="1993",="2004",="2009",="2011"
="Female",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Male",="0.0694***",="0.0886***",="0.0608***",="0.0923***"
="",="(0.00800)",="(0.00824)",="(0.0111)",="(0.0102)"
="Age of individual",="0.00805***",="0.0134***",="0.00601**",="0.00744***"
="",="(0.00129)",="(0.00121)",="(0.00191)",="(0.00150)"
="Age squared",="-0.0000373**",="-0.0000723***",="-0.00000679",="-0.0000267"
="",="(0.0000129)",="(0.0000122)",="(0.0000187)",="(0.0000150)"
="Household size",="-0.0439***",="-0.0508***",="-0.0597***",="-0.0573***"
="",="(0.00117)",="(0.00132)",="(0.00188)",="(0.00250)"
="Rural",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Urban",="0.0910***",="0.115***",="0.175***",="0.151***"
="",="(0.00881)",="(0.00976)",="(0.0107)",="(0.00994)"
="No Electricity",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Electricity",="0.340***",="0.326***",="0.247***",="0.243***"
="",="(0.00626)",="(0.00681)",="(0.00963)",="(0.0108)"
="Not own house",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Own house",="-0.145***",="-0.158***",="-0.198***",="-0.212***"
="",="(0.0101)",="(0.0104)",="(0.0142)",="(0.0127)"
="Jammu & Kashmir",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"
="Himachal Pradesh",="-0.116***",="-0.0606*",="-0.0229",="0.0573*"
="",="(0.0281)",="(0.0279)",="(0.0304)",="(0.0273)"
="Punjab",="0.0588*",="0.00916",="0.0361",="0.152***"
="",="(0.0238)",="(0.0274)",="(0.0308)",="(0.0252)"
="Chandigarh",="0.356**",="0.182",="0.397***",="-0.0266"
="",="(0.129)",="(0.0956)",="(0.108)",="(0.0990)"
="Haryana",="-0.0137",="0.00342",="0.0238",="0.170***"
="",="(0.0299)",="(0.0392)",="(0.0338)",="(0.0308)"
="Delhi",="0.231**",="0.0252",="0.00496",="0.0809"
="",="(0.0766)",="(0.0486)",="(0.0507)",="(0.0565)"
="Rajasthan",="-0.0507*",="-0.114***",="-0.119***",="-0.0338"
="",="(0.0236)",="(0.0271)",="(0.0261)",="(0.0234)"
="Uttar Pradesh",="-0.115***",="-0.166***",="-0.229***",="-0.234***"
="",="(0.0213)",="(0.0254)",="(0.0245)",="(0.0215)"
="Bihar",="-0.252***",="-0.297***",="-0.368***",="-0.234***"
="",="(0.0217)",="(0.0257)",="(0.0269)",="(0.0251)"
="Sikkim",="-0.253***",="-0.177***",="-0.167***",="-0.139***"
="",="(0.0347)",="(0.0403)",="(0.0389)",="(0.0253)"
="Arunachal Pradesh",="-0.105*",="0.0383",="-0.0124",="-0.103"
="",="(0.0497)",="(0.0403)",="(0.0438)",="(0.0531)"
="Nagaland",="0.181***",="0.246***",="0.0415",="0.0718*"
="",="(0.0298)",="(0.0313)",="(0.0292)",="(0.0315)"
="Manipur",="-0.154***",="-0.243***",="-0.325***",="-0.228***"
="",="(0.0272)",="(0.0264)",="(0.0268)",="(0.0250)"
="Mizoram",="0.187***",="0.0483",="-0.0702*",="-0.0842**"
