Country,Number of non-food items ,Collection method,Quantity and/or Value ,Transfers
"Afghanistan, 2016",,,,
"Bangladesh, 2016",,,,
"Bhutan, 2017			",,,,
"India, 2017",,,,
"Maldives, 2016",,,,
"Nepal, 2016",,,,
"Pakistan, 2015",,,,
"Sri Lanka, 2016",,,,
