"Country, Year",How is rent calculated for owners?
"Afghanistan, 2016","If you were to purchase this dwelling, how much would it cost?"
"Bangladesh, 2016","Imputed rent; also asks If you want to buy or construct a dwelling <br> just like this today, how much money would you have to pay?"
"Bhutan, 2017",How much do you think you would have to pay if you had to rent <br> this dwelling?
"India, 2011",NA
"Maldives, 2016",How much would you expect to receive each month for this house <br> if you rented it out to someone?
"Nepal, 2016","If any person want to take this house in rent, how much money <br> would have to pay? "
"Pakistan, 2015",
"Sri Lanka, 2016",What is the estimated rent of owner-occupied house?
